商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210412-352384451780392,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G23白+G26黑,5XL 建议210-240斤",797756287156	,	,无售后或售后取消,	,	,2021-04-12 14:48:19,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210412-249630557382338,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220536989085	,"J60黑+S011黑,8XL 建议310-350斤",797118881698	,	,无售后或售后取消,	,	,2021-04-12 14:41:47,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210412-351515444201649,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G23黑+G26黑,7XL 建议270-310斤",797756287149	,	,无售后或售后取消,	,	,2021-04-12 14:40:29,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-156986246122789,待发货,38.8	,0.0	,2.0	,36.8	,38.8	,1	,	,	,219896665455	,"字母W白+火焰熊黑,8XL 建议270-290斤",795750293542	,	,无售后或售后取消,	,	,2021-04-12 14:36:36,否,	,	,	
【买一送一】夏季港风宽松大码胖子t恤男潮流韩版加肥加大短袖男,210412-296610694321452,待发货,22.14	,0.0	,0.0	,22.14	,22.14	,1	,	,	,116078980576	,"【两件装】海贼王黑色+史迪仔白色,6XL",539923822626	,	,无售后或售后取消,	,	,2021-04-12 14:30:51,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-062652417000043,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W黑+时来运转黑,6XL 建议230-250斤",795750293516	,	,无售后或售后取消,	,	,2021-04-12 14:37:57,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-419151217790887,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G23白,6XL 建议240-270斤",798235364585	,	,无售后或售后取消,	,	,2021-04-12 14:25:05,否,	,	,	
2021年新款卫裤男加肥加大码潮牌反光宽松束脚裤男学生宽松运动裤,210412-249562399893026,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,220536989085	,"J60灰+S011黑,4XL 建议180-210斤",797119532813	,	,无售后或售后取消,	,	,2021-04-12 14:24:27,否,	,	,	
春夏新款宽松大码胖子男加肥加大码港风ins韩版t恤宽松印花打底衫,210412-219785463003742,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221099826903	,"T128黑+T85白,5XL 建议210-240斤",798286439871	,	,无售后或售后取消,	,	,2021-04-12 14:17:55,否,	,	,	
加肥加大码男装连帽卫衣秋冬季韩版潮流学生ins港风宽松胖子卫衣,210412-148108739641243,待发货,53.9	,0.0	,0.0	,53.9	,53.9	,1	,	,	,180326142335	,"【两件装】644黑色+641黑色,9XL",694652665411	,	,无售后或售后取消,	,	,2021-04-12 14:17:36,否,	,	,	
